id	bio
artist0	Slipknot is an American heavy metal band from Des Moines, Iowa. The band was founded in 1995 by percussionist Shawn Crahan, drummer Joey Jordison and bassist Paul Gray. After several lineup changes in its early years, the band settled on nine members for more than a decade Crahan, Jordison, Gray, Craig Jones, Mick Thomson, Corey Taylor, Sid Wilson, Chris Fehn, and Jim Root. Gray died on May 24, 2010, and was replaced during 2011–2014 by guitarist Donnie Steele. Jordison left the band due to illness on December 12, 2013. Steele left during the recording sessions for . The band found replacements in Alessandro Venturella on bass and Jay Weinberg on drums. After the departure of Jordison, as of December 2013 the only founding member in the current lineup is percussionist Crahan.
artist1	Cannibal Corpse is a death metal band from Buffalo, New York, now based in Tampa, Florida. Formed in December 1988, the band has released fourteen studio albums, two box sets, four video albums, and two live albums. The band has had little radio or television exposure throughout its career, although a cult following began to build after the release of the 1991 album Butchered at Birth and 1992 album Tomb of the Mutilated. As of 2015, they achieved worldwide sales of two million units for combined sales of all their albums,[1] making them the top-selling death metal band of all time.
artist2	Metallica is an American heavy metal band. The band was formed in 1981 in Los Angeles, California by drummer Lars Ulrich and vocalist/guitarist James Hetfield, and has been based in San Francisco, California for most of its career.[1][2] The group's fast tempos, instrumentals and aggressive musicianship made them one of the founding "big four" bands of thrash metal, alongside Megadeth, Anthrax and Slayer. Metallica's current lineup comprises founding members Hetfield and Ulrich, longtime lead guitarist Kirk Hammett and bassist Robert Trujillo. Guitarist Dave Mustaine (who went on to form Megadeth) and bassists Ron McGovney, Cliff Burton and Jason Newsted are former members of the band.
artist3	Sento is an Israeli psytrance electronic psychedelic trio formed in Afula by producers Matan Kadosh, Saharai Aviram and Itai Spector, from the north of Israel. The trio now include producer and guitarist Dror Elkayam.
artist4	Astrix, is an Israeli electronic trance music DJ and producer psytrance specializing in the subgenre of Progressive psychedelic trance. In 2006 Astrix reached in DJMag's "Top 100 DJs" yearly rank along with a rise of several other Israeli musicians (the highest being Infected Mushroom ranked #9)[1] marking a significant proportion of the Israeli electronic music scene. In 2007 Astrix reached #18 on the list
artist5	Mandragora is a eletronic music producer based on Israel. Produces psychedelic psytrance trance music. 
artist6	W.A Mozart  composer classical and musician of the . He is known for instrumental compositions such Concertos, Variations as well as for vocal music such as the St Matthew Passion and the Mass in B minor. Since the 19th-century Bach Revival he has been generally regarded as one of the greatest composers of all time. Classicism piano strings
artist7	Giuseppe Fortunino Francesco Verdi  was an Italian classical opera composer. He was born near Busseto to a provincial family of moderate means, and developed a musical education with the help of a local patron. Verdi came to dominate the Italian opera scene after the era of Vincenzo Bellini, Gaetano Donizetti, and Gioachino Rossini, whose works significantly influenced him. By his 30s, he had become one of the pre-eminent opera composers in history.
artist8	J Sebastian Bach was a German composer classical and musician of the Baroque period. He is known for instrumental compositions such as the Art of Fugue, the Brandenburg Concertos, and the Goldberg Variations as well as for vocal music such as the St Matthew Passion and the Mass in B minor. Since the 19th-century Bach Revival he has been generally regarded as one of the greatest composers of all time.
artist9	Ludwig van Beethoven was a German composer classical and pianist. A crucial figure in the transition between the classical and romantic eras in classical music, he remains one of the most recognized and influential musicians of this period, and is considered to be one of the greatest composers of all time.
